code,name,description,Source,Topic,Dataset,Unit of measure,Power code,periodicity,base_period,Derivation method,aggregation_method,Conceptual implications and limitations,Notes from original source,General comments,Reference period,Other data characteristics,geo_type
AG.PRD.FOOD.XD,Food production index (20042006 = 100),"Food production index covers food crops that are considered edible and that contain nutrients. Coffee and tea are excluded because, although edible, they have no nutritive value.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,,,,Annual,200406,,Weighted average,,,,,,Country
AG.PRD.LVSK.XD,Livestock production index (20042006 = 100),"Livestock production index includes meat and milk from all sources, dairy products such as cheese, and eggs, honey, raw silk, wool, and hides and skins.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,,,,Annual,200406,,Weighted average,,,,,,Country
AG.SRF.TOTL.K2,Surface area (sq. km),"Surface area is a country's total area, including areas under inland bodies of water and some coastal waterways.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,,,,Annual,,,Sum,,,,,,Country
AG.YLD.CREL.KG,Cereal yield (kg per hectare),"Cereal yield, measured as kilograms per hectare of harvested land, includes wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,,,,Annual,,,Weighted average,,,,,,Country
BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP),"Trade in services is the sum of service exports and imports divided by the value of GDP, all in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Weighted average,,,,,,Country
BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)","Communications, computer, information, and other services (% of service imports, BoP) cover international telecommunications and postal and courier services; computer data; newsrelated service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; and government services not included elsewhere. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Weighted average,,,,,,Country
BM.GSR.FCTY.CD,"Income payments (BoP, current US$)","Income payments refer to employee compensation paid to nonresident workers and investment income (payments on direct investment, portfolio investment, other investments). Income derived from the use of intangible assets is excluded from income and recorded under business services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Sum,,,,,,Country
BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)","Imports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from nonresidents to residents of general merchandise, goods sent for processing and repairs, nonmonetary gold, and services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Gapfilled total,,,,,,Country
BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)","Insurance and financial services (% of service imports, BoP) cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Weighted average,,,,,,Country
BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)","Goods imports refer to all movable goods (including nonmonetary gold) involved in a change of ownership from nonresidents to residents. The category includes goods previously included in services: goods received or sent for processing and their subsequent export or import in the form of processed goods, repairs on goods, and goods procured in ports by carriers. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Gapfilled total,,,,,,Country
BM.GSR.NFSV.CD,"Service imports (BoP, current US$)","Services (previously nonfactor services) refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Gapfilled total,,,,,,Country
BM.GSR.ROYL.CD,"Royalty and license fees, payments (BoP, current US$)","Royalty and license fees are payments and receipts between residents and nonresidents for the authorized use of intangible, nonproduced, nonfinancial assets and proprietary rights (such as patents, copyrights, trademarks, industrial processes, and franchises) and for the use, through licensing agreements, of produced originals of prototypes (such as films and manuscripts). Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Sum,,,,,,Country
BM.GSR.TOTL.CD,"Imports of goods, services and income (BoP, current US$)","Imports of goods, services and income is the sum of goods (merchandise) imports, imports of (nonfactor) services and income (factor) payments. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Gapfilled total,,,,,,Country
BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)","Transport (% of service imports, BoP) covers all transport services (sea, air, land, internal waterway, space, and pipeline) performed by residents of one economy for those of another and involving the carriage of passengers, the movement of goods (freight), rental of carriers with crew, and related support and auxiliary services. Excluded are freight insurance, which is included in insurance services; goods procured in ports by nonresident carriers and repairs of transport equipment, which are included in goods; repairs of railway facilities, harbors, and airfield facilities, which are included in construction services; and rental of carriers without crew, which is included in other services. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Weighted average,,,,,,Country
BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)","Travel (% of service imports, BoP) covers goods and services acquired from an economy by travelers for their own use during visits of less than one year in that economy for either business or personal purposes. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Weighted average,,,,,,Country
BM.KLT.DINV.GD.ZS,"Foreign direct investment, net outflows (% of GDP)","Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other longterm capital, and shortterm capital as shown in the balance of payments. This series shows net outflows of investment from the reporting economy to the rest of the world and is divided by GDP.","International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",Economic Policy & Debt: Balance of payments: Capital & financial account,,,,Annual,,,Weighted average,,,,,,Country
BM.TRF.PRVT.CD,"Private current transfers, payments (BoP, current US$)","Current transfers are recorded in the balance of payments whenever an economy provides or receives goods, services, income, or financial items without a quid pro quo. All transfers not considered to be capital are current. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Current account: Transfers,,,,Annual,,,Sum,,,,,,Country
BM.TRF.PWKR.CD.DT,"Personal transfers and compensation of employees, paid (current US$)","Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other shortterm workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: workers' remittances, compensation of employees, and migrants' transfers. Data are in current U.S. dollars.",World Bank staff estimates based on IMF balance of payments data.,Economic Policy & Debt: Balance of payments: Current account: Transfers,,,,Annual,,,Sum,,,Note: Data starting from 2005 are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6).,,,Country
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)","Current account balance is the sum of net exports of goods, services, net income, and net current transfers. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Current account: Balances,,,,Annual,,,Sum,,,,,,Country
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),"Current account balance is the sum of net exports of goods, services, net income, and net current transfers.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Economic Policy & Debt: Balance of payments: Current account: Balances,,,,Annual,,,,,,,,,Country
BN.GSR.FCTY.CD,"Net income (BoP, current US$)","Net income refers to receipts and payments of employee compensation paid to nonresident workers and investment income (receipts and payments on direct investment, portfolio investment, other investments, and receipts on reserve assets). Income derived from the use of intangible assets is recorded under business services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,,,,,,,Country
BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)",Net trade in goods and services is derived by offsetting imports of goods and services against exports of goods and services. Exports and imports of goods and services comprise all transactions involving a change of ownership of goods and services between residents of one country and the rest of the world. Data are in current U.S. dollars.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Current account: Balances,,,,Annual,,,,,,,,,Country
BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)","Net trade in goods is the difference between exports and imports of goods. The category includes goods previously included in services: goods received or sent for processing and their subsequent export or import in the form of processed goods, repairs on goods, and goods procured in ports by carriers. Trade in services is not included. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Current account: Balances,,,,Annual,,,,,,,,,Country
BN.KAC.EOMS.CD,"Net errors and omissions, adjusted (BoP, current US$)","Net errors and omissions constitute a residual category needed to ensure that all debit and credit entries in the balance of payments statement sum to zero. In the International Financial Statistics presentation, this is equal to the difference between reserves and related items and the sum of the balances of the current, capital, and financial accounts. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Capital & financial account,,,,Annual,,,Sum,,,,,,Country
BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)","Foreign direct investment is net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other longterm capital, and shortterm capital as shown in the balance of payments. This series shows total net, that is, net FDI in the reporting economy from foreign sources less net FDI by the reporting economy to the rest of the world. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Capital & financial account,,,,Annual,,,Sum,,,,,,Country
BN.KLT.PRVT.CD,"Private capital flows, total (BoP, current US$)","Private capital flows consist of net foreign direct investment and portfolio investment. Foreign direct investment is net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other longterm capital, and shortterm capital as shown in the balance of payments. The FDI included here is total net, that is, net FDI in the reporting economy from foreign sources less net FDI by the reporting economy to the rest of the world. Portfolio investment excludes liabilities constituting foreign authorities' reserves and covers transactions in equity securities and debt securities. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Capital & financial account,,,,Annual,,,Sum,,,,,,Country
BN.KLT.PRVT.GD.ZS,"Private capital flows, total (% of GDP)","Private capital flows consist of net foreign direct investment and portfolio investment. Foreign direct investment is net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other longterm capital, and shortterm capital as shown in the balance of payments. The FDI included here is total net, that is, net FDI in the reporting economy from foreign sources less net FDI by the reporting economy to the rest of the world. Portfolio investment excludes liabilities constituting foreign authorities' reserves and covers transactions in equity securities and debt securities.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Economic Policy & Debt: Balance of payments: Capital & financial account,,,,Annual,,,,,,,,,Country
BN.KLT.PTXL.CD,"Portfolio investment, excluding LCFAR (BoP, current US$)",Portfolio investment excluding liabilities constituting foreign authorities' reserves covers transactions in equity securities and debt securities. Data are in current U.S. dollars.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Capital & financial account,,,,Annual,,,Sum,,,,,,Country
BN.RES.INCL.CD,"Changes in net reserves (BoP, current US$)","Changes in net reserves is the net change in a country's holdings of international reserves resulting from transactions on the current, capital, and financial accounts. These include changes in holdings of monetary gold, SDRs, foreign exchange assets, reserve position in the International Monetary Fund, and other claims on nonresidents that are available to the central authority. The measure is net of liabilities constituting foreign authorities' reserves, and counterpart items for valuation changes and exceptional financing items. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Capital & financial account,,,,Annual,,,Sum,,,,,,Country
BN.TRF.CURR.CD,"Net current transfers (BoP, current US$)","Net current transfers are recorded in the balance of payments whenever an economy provides or receives goods, services, income, or financial items without a quid pro quo. All transfers not considered to be capital are current. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Current account: Transfers,,,,Annual,,,,,,,,,Country
BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)","Net capital account includes government debt forgiveness, investment grants in cash or in kind by a government entity, and taxes on capital transfers. Also included are migrants' capital transfers and debt forgiveness and investment grants by nongovernmental entities. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Capital & financial account,,,,Annual,,,Sum,,,,,,Country
BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)",Grants are defined as legally binding commitments that obligate a specific value of funds available for disbursement for which there is no repayment requirement. Data are in current U.S. dollars.,"World Bank, International Debt Statistics, and OECD.",Economic Policy & Debt: Balance of payments: Reserves & other items,,,,Annual,,,Sum,,,,,,Country
BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)","Technical cooperation grants include freestanding technical cooperation grants, which are intended to finance the transfer of technical and managerial skills or of technology for the purpose of building up general national capacity without reference to any specific investment projects; and investmentrelated technical cooperation grants, which are provided to strengthen the capacity to execute specific investment projects. Data are in current U.S. dollars.","World Bank, International Debt Statistics, and OECD.",Economic Policy & Debt: Balance of payments: Reserves & other items,,,,Annual,,,Sum,,,,,,Country
BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)",Information and communication technology service exports include computer and communications services (telecommunications and postal and courier services) and information services (computer data and newsrelated service transactions).,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Infrastructure: Communications,,,,Annual,,,Sum,,,,,,Country
BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)",Information and communication technology service exports include computer and communications services (telecommunications and postal and courier services) and information services (computer data and newsrelated service transactions).,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Infrastructure: Communications,,,,Annual,,,Weighted average,,,,,,Country
BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)","Communications, computer, information, and other services (% of service exports, BoP) cover international telecommunications and postal and courier services; computer data; newsrelated service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; and government services not included elsewhere. Service exports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Weighted average,,,,,,Country
BX.GSR.FCTY.CD,"Income receipts (BoP, current US$)","Income receipts refer to employee compensation paid to resident workers working abroad and investment income (receipts on direct investment, portfolio investment, other investments, and receipts on reserve assets). Income derived from the use of intangible assets is excluded from income and recorded under business services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Sum,,,,,,Country
BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)","Exports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, nonmonetary gold, and services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Gapfilled total,,,,,,Country
BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)","Insurance and financial services (% of service exports, BoP) cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents. Service exports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Weighted average,,,,,,Country
BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)","Goods exports refer to all movable goods (including nonmonetary gold) involved in a change of ownership from residents to nonresidents. The category includes goods previously included in services: goods received or sent for processing and their subsequent export or import in the form of processed goods, repairs on goods, and goods procured in ports by carriers. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Gapfilled total,,,,,,Country
BX.GSR.NFSV.CD,"Service exports (BoP, current US$)","Services (previously nonfactor services) refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Gapfilled total,,,,,,Country
BX.GSR.ROYL.CD,"Royalty and license fees, receipts (BoP, current US$)","Royalty and license fees are payments and receipts between residents and nonresidents for the authorized use of intangible, nonproduced, nonfinancial assets and proprietary rights (such as patents, copyrights, trademarks, industrial processes, and franchises) and for the use, through licensing agreements, of produced originals of prototypes (such as films and manuscripts). Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Sum,,,,,,Country
BX.GSR.TOTL.CD,"Exports of goods, services and income (BoP, current US$)","Exports of goods, services and income is the sum of goods (merchandise) exports, exports of (nonfactor) services and income (factor) receipts. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",,,,Annual,,,Gapfilled total,,,,,,Country
